NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"74766SET";13;12;1;0;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74767SET";10;8;1;1;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74771SET";6;4;0;2;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74772SET";16;14;0;2;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74773SET";19;19;0;0;3;3;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74780";12;11;0;1;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74780SET";59;59;0;0;12;12;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74783SET";25;24;0;1;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74785SET";4;4;0;0;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74786SET";16;15;0;1;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74794SET";16;16;0;0;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74794SETAIC";3;3;0;0;2;2;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7711579456";245;185;6;54;25;1;0;4;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7613253";4;2;0;2;2;2;2;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7624192";5;4;0;1;4;3;2;75;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7700107587";13;9;0;4;3;1;0;33,33;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7711428122";515;476;0;39;41;2;0;4,88;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7711785243";127;120;1;6;7;2;0;28,57;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
