GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);HENGST FILTER;FEBI BILSTEIN;MEYLE;SWAG;VAICO;TRUCKTEC AUTOMOTIVE;ORIGINAL Sch?ferbarthold;TCMATIC;AIC;ZF
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350102;469;1,5999;1;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350102144;1;0,0034;0;0;0;0;0;0;0;0;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350102SK;19;0,0648;0;1;1;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350102XK;25;0,0853;0;1;1;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350103;151;0,5151;1;1;1;1;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350103SK;5;0,0171;0;1;1;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350103XK;12;0,0409;0;1;1;1;1;0;0;1;1;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350106;6;0,0205;0;1;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350106SK;3;0,0102;0;1;1;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350107;7;0,0239;0;1;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350108;40;0,1365;0;1;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350108SK;14;0,0478;0;1;1;0;1;0;0;1;0;1
